,Layout Type,Mean Turbine Spacing
0,cluster,5
1,single string,4
2,cluster,4
3,cluster,7
4,parallel strings,7
5,parallel strings,7
6,cluster,6
7,single string,7
8,single string,5
9,parallel strings,6
10,parallel strings,3
11,multiple strings,5
12,multiple strings,5
13,cluster,4
14,parallel strings,6
15,single string,6
16,cluster,4
17,cluster,6
18,single string,4
19,parallel strings,4
20,parallel strings,5
21,parallel strings,6
22,parallel strings,6
23,cluster,6
24,cluster,4
25,single string,3
26,cluster,3
27,parallel strings,6
28,cluster,6
29,single string,6
30,multiple strings,3
31,cluster,8
32,parallel strings,7
33,multiple strings,4
34,cluster,4
35,cluster,4
36,multiple strings,5
37,cluster,5
38,cluster,3
39,multiple strings,4
40,multiple strings,5
41,single string,6
42,multiple strings,4
43,parallel strings,7
44,multiple strings,4
45,parallel strings,4
46,cluster,7
47,cluster,8
48,cluster,3
49,cluster,4
50,single string,7
51,single string,7
52,single string,3
53,single string,3
54,cluster,3
55,parallel strings,5
56,single string,4
57,single string,7
58,cluster,6
59,multiple strings,5
60,single string,7
61,cluster,4
62,cluster,7
63,parallel strings,7
64,multiple strings,4
65,multiple strings,6
66,multiple strings,4
67,cluster,6
68,single string,7
69,parallel strings,7
70,multiple strings,5
71,multiple strings,4
72,parallel strings,5
73,single string,6
74,parallel strings,5
75,cluster,5
76,cluster,3
77,cluster,3
78,cluster,7
79,multiple strings,4
80,single string,5
81,parallel strings,7
82,parallel strings,4
83,single string,7
84,cluster,8
85,single string,9
86,cluster,8
87,parallel strings,7
88,single string,6
89,multiple strings,3
90,multiple strings,4
91,parallel strings,4
92,single string,6
93,parallel strings,6
94,parallel strings,7
95,multiple strings,6
96,cluster,7
97,cluster,7
98,multiple strings,5
99,multiple strings,7
100,cluster,6
101,multiple strings,4
102,multiple strings,5
103,multiple strings,3
104,cluster,4
105,parallel strings,4
106,single string,4
107,single string,4
108,single string,4
109,multiple strings,6
110,multiple strings,4
111,cluster,6
112,multiple strings,4
113,single string,4
114,cluster,7
115,single string,5
116,multiple strings,6
117,single string,5
118,cluster,3
119,single string,7
120,cluster,3
121,cluster,4
122,cluster,7
123,parallel strings,6
124,cluster,4
125,multiple strings,5
126,multiple strings,3
127,cluster,4
128,multiple strings,4
129,cluster,3
130,single string,3
131,cluster,7
132,single string,7
133,parallel strings,3
134,single string,4
135,single string,5
136,single string,7
137,parallel strings,5
138,single string,4
139,parallel strings,6
